requestedUrl,finalUrl,category,name,title,type,score
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","performance-score","Overall Performance Category Score","numeric","0.96"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","first-contentful-paint","First Contentful Paint","numeric","0.82"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","interactive","Time to Interactive","numeric","0.99"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","speed-index","Speed Index","numeric","0.99"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","total-blocking-time","Total Blocking Time","numeric","1"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.93"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.99"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.94"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.94"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.88"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","unminified-css","Minify CSS","numeric","1"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","unused-css-rules","Reduce unused CSS","numeric","0.75"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","unused-javascript","Reduce unused JavaScript","numeric","0.58"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.88"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","server-response-time","Initial server response time was short","binary","1"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","uses-http2","Use HTTP/2","numeric","1"
"https://www.saucedemo.com/inventory.html","https://www.saucedemo.com/?/inventory.html","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
